Triênio,Curso
2021-2023,Campus UnB — Ceilândia / DF
2021-2023,Enfermagem (Bacharelado)
2021-2023,Farmácia (Bacharelado)
2021-2023,Fisioterapia (Bacharelado)
2021-2023,Fonoaudiologia (Bacharelado)
2021-2023,Saúde Coletiva (Bacharelado)
2021-2023,Terapia Ocupacional (Bacharelado)
2021-2023,Campus UnB — Darcy Ribeiro (Plano Piloto) / DF
2021-2023,Administração (Bacharelado)
2021-2023,Administração (Bacharelado)
2021-2023,Agronomia (Bacharelado)
2021-2023,Arquitetura e Urbanismo (Bacharelado)
2021-2023,Arquitetura e Urbanismo (Bacharelado)
2021-2023,Arquivologia (Bacharelado)
2021-2023,Artes Cênicas - Interpretação Teatral (Bacharelado)
2021-2023,Artes Visuais (Bacharelado)*
2021-2023,Biblioteconomia (Bacharelado)
2021-2023,Biotecnologia (Bacharelado)
2021-2023,Ciência da Computação (Bacharelado)
2021-2023,Ciência Política (Bacharelado)
2021-2023,Ciências Ambientais (Bacharelado)
2021-2023,Ciências Biológicas (Bacharelado)
2021-2023,Ciências Contábeis (Bacharelado)
2021-2023,Ciências Contábeis (Bacharelado)
2021-2023,Ciências Econômicas (Bacharelado)
2021-2023,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura)
2021-2023,Computação (Licenciatura)
2021-2023,Comunicação Organizacional (Bacharelado)
2021-2023,Comunicação Social – Audiovisual (Bacharelado)
2021-2023,Comunicação Social - Publicidade e Propaganda (Bacharelado)
2021-2023,Design – Programação Visual/ Projeto do Produto (Bacharelado)
2021-2023,Direito (Bacharelado)
2021-2023,Direito (Bacharelado)
2021-2023,Educação Física (Bacharelado)
2021-2023,Educação Física (Licenciatura)
2021-2023,Enfermagem (Bacharelado)
2021-2023,Engenharia Ambiental (Bacharelado)
2021-2023,Engenharia Civil (Bacharelado)
2021-2023,Engenharia de Computação (Bacharelado)
2021-2023,Engenharia de Produção (Bacharelado)
2021-2023,Engenharia de Redes de Comunicação (Bacharelado)
2021-2023,Engenharia Elétrica (Bacharelado)
2021-2023,Engenharia Florestal (Bacharelado)
2021-2023,Engenharia Mecânica (Bacharelado)
2021-2023,Engenharia Mecatrônica – Controle e Automação (Bacharelado)
2021-2023,Engenharia Química (Bacharelado)
2021-2023,Estatística (Bacharelado)
2021-2023,Farmácia (Bacharelado)
2021-2023,Farmácia (Bacharelado)
2021-2023,Filosofia (Bacharelado/Licenciatura)
2021-2023,Filosofia (Licenciatura)
2021-2023,Física (Bacharelado)
2021-2023,Geofísica (Bacharelado)
2021-2023,Geografia (Bacharelado/Licenciatura)
2021-2023,Geologia (Bacharelado)
2021-2023,Gestão de Agronegócio (Bacharelado)
2021-2023,Gestão de Políticas Públicas (Bacharelado)
2021-2023,História (Bacharelado/Licenciatura)
2021-2023,História (Licenciatura)
2021-2023,Jornalismo (Bacharelado)
2021-2023,Letras – Português do Brasil como Segunda Língua (Licenciatura)
2021-2023,Letras – Tradução – Francês (Bacharelado)
2021-2023,Letras – Tradução – Inglês (Bacharelado)
2021-2023,Letras – Tradução Espanhol (Bacharelado)
2021-2023,Licenciatura em Artes Cênicas
2021-2023,Licenciatura em Artes Cênicas
2021-2023,Licenciatura em Ciências Biológicas
2021-2023,Licenciatura em Física
2021-2023,Licenciatura em Matemática
2021-2023,Licenciatura em Química
2021-2023,Língua e Literatura Japonesa (Licenciatura)
2021-2023,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)
2021-2023,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)
2021-2023,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura)
2021-2023,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)
2021-2023,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)
2021-2023,Língua Portuguesa e Respectiva Literatura (Licenciatura)
2021-2023,Matemática (Bacharelado/ Licenciatura)
2021-2023,Medicina (Bacharelado)
2021-2023,Medicina Veterinária (Bacharelado)
2021-2023,Museologia (Bacharelado)
