id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,classe,velocidade_min,velocidade_max,consistencia,mudancas_direcao,coef_var_min,coef_var_max
Biblioteconomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,83,Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Queda,-17.861,-17.861,100.0,0,-60.969,-60.969
Biologia (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,84,Biologia (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,7.789,4.162,50.0,2,28.811,37.439
Biologia (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,85,Biologia (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,9.51,7.451,75.0,2,321.567,255.467
Biologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,86,Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,-2.062,-11.0,66.7,1,-656.206,379.521
Biologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,89,Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,19.159,5.041,50.0,1,-137.034,180.44
Biologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,90,Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,0.079,-0.934,66.7,2,86.573,16.062
Biologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,93,Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Queda,-13.197,-33.561,100.0,0,-111.373,-1321.842
Biologia (Licenciatura) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,96,Biologia (Licenciatura),Darcy Ribeiro,Noturno,AC,Oscilante,5.464,,50.0,2,-125.359,
Biologia (Licenciatura) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,98,Biologia (Licenciatura),Darcy Ribeiro,Noturno,CN,Oscilante,-13.486,-26.58,50.0,1,261.019,162.119
Biologia (Licenciatura) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,100,Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,Oscilante,-8.068,-15.473,50.0,1,-42.095,-657.756
Biologia (Licenciatura) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,102,Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,Oscilante,12.688,12.98,50.0,1,-43.708,-397.957
Biologia (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,104,Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,7.978,-5.022,66.7,2,-270.632,763.288
Biologia (Licenciatura) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,107,Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,Oscilante,1.055,9.084,66.7,2,-50.823,-477.601
Biotecnologia (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,108,Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,10.715,10.859,60.0,2,81.938,43.849
Biotecnologia (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,109,Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,26.29,16.416,50.0,1,124.389,68.273
Biotecnologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,110,Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,10.093,-25.518,66.7,2,-31.168,-1130.824
Biotecnologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,112,Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Crescimento,10.644,44.985,100.0,0,-32.901,1614.722
Biotecnologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,113,Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,-5.942,-14.446,50.0,1,-902.894,116.641
Biotecnologia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,115,Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,5.025,-22.121,66.7,1,-57.03,121.337
Ciência Política (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,117,Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,14.339,-1.299,60.0,2,99.746,39.194
Ciência Política (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,118,Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,10.96,-3.073,60.0,3,149.594,98.577
Ciência Política (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,119,Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,0.676,4.168,66.7,1,-35.065,-260.914
Ciência Política (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,121,Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,1.73,-2.492,66.7,2,-37.412,405.937
Ciência Política (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,122,Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,21.495,-0.713,66.7,2,-160.279,11.804
Ciência Política (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,125,Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,12.529,-16.555,66.7,1,-31.287,249.911
Ciência da Computação (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,127,Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,11.505,5.022,60.0,4,20.409,15.774
Ciência da Computação (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,128,Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,14.549,11.993,80.0,2,37.577,33.287
Ciência da Computação (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,129,Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,20.982,4.801,50.0,1,2590.027,94.949
Ciência da Computação (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,131,Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,4.21,-1.294,75.0,1,-238.253,170.404
Ciência da Computação (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,133,Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,16.934,-9.58,50.0,1,54.458,29.73
Ciência da Computação (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,137,Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,-6.106,-7.849,50.0,3,104.066,42.62
Ciências Ambientais (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,140,Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,AC,Oscilante,6.505,-9.443,75.0,1,-23.596,167.18
Ciências Ambientais (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,141,Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,CN,Oscilante,-1.545,-3.163,66.7,1,-34.115,-34.874
Ciências Ambientais (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,143,Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,10.092,9.86,50.0,1,-458.809,-9441.606
Ciências Ambientais (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,144,Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,Oscilante,2.821,-6.082,66.7,1,-53.515,-48.178
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,145,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,19.168,2.48,60.0,3,-243.374,58.591
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,146,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,AC,Oscilante,10.878,-3.049,50.0,3,-48.493,13.79
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,147,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,-1.625,,25.0,3,-475.187,
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,148,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,CN,Oscilante,-19.184,-24.886,50.0,1,-89.78,-363.738
Ciências Contábeis (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,149,Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Crescimento,,18.018,100.0,0,,119.958
