id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,delta_min,delta_max,delta_min_pct,delta_max_pct,velocidade_min,velocidade_max,media_min,media_max,desvio_min,desvio_max,coef_var_min,coef_var_max,amplitude_media,amplitude_min,amplitude_max
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,42,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,AC,5,-46.303,-57.868,-10.847,41.329,-11.565,52.176,24.977,-481.018,-2.891,13.044,-62.403,9.017,13.889,25.975,-22.257,288.073,71.419,35.456,114.94
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,43,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,CN,3,-71.228,10.221,-71.228,10.221,81.449,81.449,-114.35,-114.35,40.724,40.724,-44.656,-44.656,47.532,47.532,-106.442,-106.442,0.0,0.0,0.0
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,44,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,2,-47.977,-30.721,-47.977,-19.2,17.256,28.777,-35.967,-59.981,17.256,28.777,-39.349,-33.588,12.202,20.348,-31.009,-60.581,5.76,0.0,11.521
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,45,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,-55.757,-34.645,-55.757,-30.382,21.112,25.375,-37.864,-45.51,10.556,12.687,-49.832,-48.411,13.258,15.702,-26.605,-32.436,1.421,0.0,4.263
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,46,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-70.619,-70.619,-31.332,-31.332,0.0,0.0,-0.0,-0.0,,,-70.619,-31.332,,,,,39.287,39.287,39.287
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,47,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,-36.22,-66.41,-34.267,-66.41,-30.19,-32.143,83.352,93.802,-30.19,-32.143,-51.315,-50.338,21.348,22.729,-41.601,-45.151,0.976,0.0,1.953
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,48,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-35.963,23.679,47.134,42.35,59.642,-4.784,-165.843,-10.15,11.928,-0.957,-7.114,42.471,30.574,24.754,-429.767,58.285,49.585,1.726,124.411
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,49,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,-64.508,-64.508,-64.508,-64.508,0.0,0.0,-0.0,-0.0,,,-64.508,-64.508,,,,,0.0,0.0,0.0
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,50,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-5.726,-42.49,-5.726,-42.49,-36.764,-36.764,642.054,642.054,-18.382,-18.382,-15.928,-15.928,23.209,23.209,-145.709,-145.709,0.0,0.0,0.0
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,51,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,19.746,-19.882,19.746,-1.832,-39.628,-21.578,-200.689,-109.278,-19.814,-10.789,-2.223,3.793,20.163,14.014,-906.864,369.438,6.017,0.0,18.05
