Curso,Campus,Turno,Modalidade,Triênios,Primeira Nota,Última Nota,Média Histórica,Mediana Histórica,Mínimo Histórico,Máximo Histórico,Previsão,Δ Média,Δ Última,Índice de Estabilidade,Estabilidade,CV (%),Desvio,Amplitude,Volatilidade,Mudanças
Artes Cênicas (Licenciatura),Darcy Ribeiro,Noturno,AC,1,-53.38,-53.38,-53.38,-53.38,-53.38,-53.38,-53.38,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,AC,4,-52.16,-1.08,-20.97,-25.17,-52.16,18.63,-5.39,15.58,-4.31,39.05,Baixa,-168.31,35.3,70.79,74.41,2.0
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,14.97,-42.06,-13.54,-13.54,-42.06,14.97,-65.82,-52.27,-23.76,63.0,Alta,-297.73,40.32,57.02,0.0,0.0
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,-21.57,-21.57,-21.57,-21.57,-21.57,-21.57,-21.57,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Literatura),Darcy Ribeiro,Diurno,EP_R2_PPI,1,-49.62,-49.62,-49.62,-49.62,-49.62,-49.62,-49.62,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,AC,1,-68.86,-68.86,-68.86,-68.86,-68.86,-68.86,-68.86,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R1_PPI,1,-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,-10.8,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,-68.55,-68.55,-68.55,-68.55,-68.55,-68.55,-68.55,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-54.58,13.22,-20.0,-19.65,-68.76,29.41,10.45,30.45,-2.78,42.38,Moderada,-189.56,37.92,98.17,55.73,3.0
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,CN,1,-21.92,-21.92,-21.92,-21.92,-21.92,-21.92,-21.92,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,-37.28,-73.31,-29.7,-37.28,-73.31,21.49,-54.52,-24.82,18.79,36.99,Baixa,-161.12,47.85,94.8,108.59,1.0
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-64.31,-64.31,-64.31,-64.31,-64.31,-64.31,-64.31,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,AC,3,-56.06,-7.96,-51.34,-56.06,-90.01,-7.96,-17.07,34.27,-9.11,36.28,Baixa,-80.3,41.23,82.05,82.03,1.0
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,CN,2,-30.84,-33.24,-32.04,-32.04,-33.24,-30.84,-33.34,-1.3,-0.1,61.61,Alta,-5.28,1.69,2.39,0.0,0.0
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,-23.75,-23.75,-23.75,-23.75,-23.75,-23.75,-23.75,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,1,-23.12,-23.12,-23.12,-23.12,-23.12,-23.12,-23.12,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,29.14,-59.58,-17.38,-21.7,-59.58,29.14,-64.51,-47.14,-4.94,56.27,Moderada,-256.22,44.52,88.72,9.16,0.0
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,2,-17.98,-22.14,-20.06,-20.06,-22.14,-17.98,-22.84,-2.78,-0.69,62.01,Alta,-14.67,2.94,4.16,0.0,0.0
Artes Visuais (Licenciatura),Darcy Ribeiro,Noturno,AC,1,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,-13.5,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,-37.86,-57.49,-65.71,-69.57,-82.69,-37.86,-65.79,-0.08,-8.3,44.0,Moderada,-28.25,18.56,44.83,29.97,3.0
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,CN,4,-13.88,-46.4,-28.06,-25.98,-46.4,-13.88,-48.03,-19.97,-1.63,62.8,Alta,-53.91,15.13,32.52,6.61,0.0
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,-36.51,-15.52,-41.49,-36.51,-72.45,-15.52,-19.76,21.73,-4.24,39.76,Baixa,-69.38,28.79,56.92,65.67,1.0
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2,-41.52,-59.32,-50.42,-50.42,-59.32,-41.52,-66.73,-16.32,-7.42,61.85,Alta,-24.97,12.59,17.8,0.0,0.0
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,-18.9,-30.85,-29.26,-24.88,-57.03,-10.26,-40.14,-10.88,-9.29,43.87,Moderada,-69.54,20.35,46.77,38.08,2.0
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-54.55,-54.55,-54.55,-54.55,-54.55,-54.55,-54.55,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,-9.93,-45.65,-33.54,-45.04,-45.65,-9.93,-54.48,-20.94,-8.83,56.74,Moderada,-60.97,20.45,35.72,24.39,0.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,47.64,78.79,67.39,70.25,47.64,92.09,76.17,8.78,-2.62,36.13,Baixa,28.81,19.42,44.46,34.7,2.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,-8.39,29.65,7.99,23.62,-29.29,29.65,17.76,9.78,-11.89,29.8,Baixa,321.57,25.69,58.94,48.36,2.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-58.58,-64.76,-9.9,-23.78,-64.76,72.75,-33.5,-23.61,31.26,40.48,Moderada,-656.21,64.93,137.52,115.73,1.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-78.85,-78.85,-78.85,-78.85,-78.85,-78.85,-78.85,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD,1,6.76,6.76,6.76,6.76,6.76,6.76,6.76,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-42.43,-4.11,-16.43,-4.11,-42.43,-2.76,3.42,19.85,7.53,50.39,Moderada,-137.03,22.52,39.66,29.0,1.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,5.72,5.96,19.41,15.75,5.72,40.43,17.28,-2.14,11.31,38.31,Baixa,86.57,16.81,34.7,30.02,1.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,29.6,29.6,29.6,29.6,29.6,29.6,29.6,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD,1,-25.67,-25.67,-25.67,-25.67,-25.67,-25.67,-25.67,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-40.62,-80.21,-37.74,-45.39,-80.21,20.01,-70.37,-32.62,9.85,40.19,Moderada,-111.37,42.04,100.22,67.01,1.0
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-67.98,-67.98,-67.98,-67.98,-67.98,-67.98,-67.98,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Licenciatura),Darcy Ribeiro,Diurno,AC,1,61.37,61.37,61.37,61.37,61.37,61.37,61.37,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Licenciatura),Darcy Ribeiro,Diurno,CN,1,45.8,45.8,45.8,45.8,45.8,45.8,45.8,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,38.01,38.01,38.01,38.01,38.01,38.01,38.01,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Biologia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,0,,,,,,,,,,0.13,Muito baixa,,,,,
