id_oferta,id_oferta_num,curso,campus,turno,modalidade,n_trienios,media_ponderada_min,media_ponderada_max,desvio_ponderado_min,desvio_ponderado_max,slope_ponderada_min,slope_ponderada_max,momentum_min,momentum_max,aceleracao_min,aceleracao_max,curvatura_min,curvatura_max
Arquivologia (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,47,Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,-56.347,-55.696,14.232,15.152,-15.095,-16.0715,-5.032,-5.357,,,,
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,48,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6,5.298,40.821,25.844,21.139,15.56723,-2.80443,12.412,-1.65,-1.979,9.354,0.840714,-1.031071
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,49,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,-64.508,-64.508,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,50,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,-22.055,-22.055,20.538,20.538,-15.72875,-15.72875,-6.127,-6.127,-49.08,-49.08,-9.206333,-9.206333
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,51,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,-8.828,0.197,14.104,8.992,-9.907,-5.3945,-6.605,-3.596,12.932,30.982,-1.147,3.3655
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,52,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-30.791,18.165,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ_PCD | EP=True | R=R2 | GE=NPPIQ | PCD=True | SM=1.0,53,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1,-33.372,-33.372,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,54,Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,-58.968,-58.968,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,55,Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,AC,1,-12.384,29.579,0.0,0.0,,,0.0,0.0,,,,
Artes Cênicas (Licenciatura) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,56,Artes Cênicas (Licenciatura),Darcy Ribeiro,Noturno,AC,1,-53.375,16.725,0.0,0.0,,,0.0,0.0,,,,
