curso,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,variacao_min,variacao_max,menor_nota_min,maior_nota_min,menor_nota_max,maior_nota_max,media_nota_min,media_nota_max,amplitude_media,amplitude_max,amplitude_min,coef_var_min,coef_var_max
Biblioteconomia (Bacharelado),AC,5,-37.863,-57.49,15.722,36.282,-19.627,20.56,-82.692,-37.863,15.722,60.65,-65.71,33.842,99.552,141.585,53.585,-28.248,49.332
Biblioteconomia (Bacharelado),CN,4,-13.884,-46.402,-13.884,-46.402,-32.518,-32.518,-46.402,-13.884,-46.402,-13.884,-28.064,-28.064,0.0,0.0,0.0,-53.91,-53.91
Biblioteconomia (Bacharelado),EP_R1_NPPI,3,-36.505,-15.523,-15.885,-15.523,20.982,0.362,-72.447,-15.523,-34.556,-15.523,-41.492,-21.988,19.504,37.891,0.0,-69.382,-49.508
Biblioteconomia (Bacharelado),EP_R1_PPI,2,-41.515,-59.315,-41.515,-59.315,-17.8,-17.8,-59.315,-41.515,-59.315,-41.515,-50.415,-50.415,0.0,0.0,0.0,-24.966,-24.966
Biblioteconomia (Bacharelado),EP_R2_NPPI,4,-18.898,-30.853,-18.898,22.648,-11.955,41.546,-57.03,-10.259,-18.898,46.357,-29.26,14.896,44.156,103.387,0.0,-69.542,182.676
Biblioteconomia (Bacharelado),EP_R2_NPPIQ,1,-54.547,-54.547,-52.729,-52.729,0.0,0.0,-54.547,-54.547,-52.729,-52.729,-54.547,-52.729,1.818,1.818,1.818,,
Biblioteconomia (Bacharelado),EP_R2_PPI,3,-9.93,-45.652,-9.93,-45.652,-35.722,-35.722,-45.652,-9.93,-45.652,-9.93,-33.539,-33.539,0.0,0.0,0.0,-60.969,-60.969
Biologia (Bacharelado),AC,5,47.639,78.793,102.589,119.236,31.154,16.647,47.639,92.094,55.263,174.618,67.391,118.196,50.805,104.365,7.089,28.811,37.439
Biologia (Bacharelado),CN,5,-8.39,29.652,-0.152,29.652,38.042,29.804,-29.292,29.652,-29.292,29.652,7.988,9.636,1.648,8.238,0.0,321.567,255.467
Biologia (Bacharelado),EP_R1_NPPI,4,-58.578,-64.765,-3.085,-36.085,-6.187,-33.0,-64.765,72.752,-36.085,72.752,-9.895,12.014,21.909,55.493,0.0,-656.206,379.521
Biologia (Bacharelado),EP_R1_NPPIQ,1,-78.848,-78.848,-26.937,-26.937,0.0,0.0,-78.848,-78.848,-26.937,-26.937,-78.848,-26.937,51.911,51.911,51.911,,
Biologia (Bacharelado),EP_R1_NPPI_PCD,1,6.759,6.759,6.759,6.759,0.0,0.0,6.759,6.759,6.759,6.759,6.759,6.759,0.0,0.0,0.0,,
Biologia (Bacharelado),EP_R1_PPI,3,-42.429,-4.111,-6.123,3.96,38.318,10.083,-42.429,-2.765,-6.123,89.849,-16.435,29.229,45.664,92.614,8.071,-137.034,180.44
Biologia (Bacharelado),EP_R2_NPPI,4,5.725,5.963,31.993,29.19,0.238,-2.803,5.725,40.429,29.19,40.429,19.414,32.766,13.352,26.268,0.0,86.573,16.062
Biologia (Bacharelado),EP_R2_NPPIQ,1,29.597,29.597,56.051,56.051,0.0,0.0,29.597,29.597,56.051,56.051,29.597,56.051,26.454,26.454,26.454,,
Biologia (Bacharelado),EP_R2_NPPI_PCD,1,-25.671,-25.671,-25.671,-25.671,0.0,0.0,-25.671,-25.671,-25.671,-25.671,-25.671,-25.671,0.0,0.0,0.0,,
Biologia (Bacharelado),EP_R2_PPI,4,-40.62,-80.211,42.573,-58.11,-39.591,-100.683,-80.211,20.011,-58.11,42.573,-37.745,-3.564,34.18,83.193,8.196,-111.373,-1321.842
Biologia (Bacharelado),EP_R2_PPIQ,1,-67.982,-67.982,8.016,8.016,0.0,0.0,-67.982,-67.982,8.016,8.016,-67.982,8.016,75.998,75.998,75.998,,
