curso,modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Ciência da Computação (Bacharelado),EP_R1_NPPI,5,1.768,8.992,45.781,-75.28,46.784,38.212,21.805,36.282,-0.86,86.756,36.445,31.564,9.697,74.42,2590.027,94.949
Ciência da Computação (Bacharelado),EP_R1_NPPIQ,1,-38.263,-38.263,,-38.263,-38.263,32.989,32.989,,32.989,32.989,71.252,,71.252,71.252,,
Ciência da Computação (Bacharelado),EP_R1_PPI,5,-8.109,-7.916,19.321,-34.939,11.4,20.86,6.671,35.546,-7.693,79.464,28.969,24.641,10.405,70.458,-238.253,170.404
Ciência da Computação (Bacharelado),EP_R1_PPIQ,1,0.178,0.178,,0.178,0.178,0.178,0.178,,0.178,0.178,0.0,,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_NPPI,5,88.255,107.146,48.062,9.801,131.855,128.39,124.221,38.171,77.535,181.985,40.134,41.079,0.0,106.056,54.458,29.73
Ciência da Computação (Bacharelado),EP_R2_NPPIQ,1,118.288,118.288,,118.288,118.288,118.288,118.288,,118.288,118.288,0.0,,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_NPPIQ_PCD,1,42.861,42.861,,42.861,42.861,42.861,42.861,,42.861,42.861,0.0,,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_NPPI_PCD,1,-10.517,-10.517,,-10.517,-10.517,-10.517,-10.517,,-10.517,-10.517,0.0,,0.0,0.0,,
Ciência da Computação (Bacharelado),EP_R2_PPI,5,24.249,29.628,25.235,-12.086,53.97,58.102,56.75,24.763,22.791,91.909,33.853,8.57,19.356,41.849,104.066,42.62
Ciência da Computação (Bacharelado),EP_R2_PPIQ,1,48.884,48.884,,48.884,48.884,74.724,74.724,,74.724,74.724,25.84,,25.84,25.84,,
Ciência da Computação (Bacharelado),EP_R2_PPI_PCD,1,-13.051,-13.051,,-13.051,-13.051,-13.051,-13.051,,-13.051,-13.051,0.0,,0.0,0.0,,
Ciências Ambientais (Bacharelado),AC,5,-70.227,-63.616,16.57,-88.634,-51.442,30.62,18.579,51.19,-15.392,118.33,100.846,53.351,45.319,181.946,-23.596,167.18
Ciências Ambientais (Bacharelado),CN,4,-32.329,-36.648,11.029,-39.988,-16.032,-31.116,-34.222,10.851,-39.988,-16.032,1.213,2.427,0.0,4.854,-34.115,-34.874
Ciências Ambientais (Bacharelado),EP_R1_NPPI,1,-6.827,-6.827,,-6.827,-6.827,-6.827,-6.827,,-6.827,-6.827,0.0,,0.0,0.0,,
Ciências Ambientais (Bacharelado),EP_R2_NPPI,3,-10.988,-29.414,50.415,-49.599,46.048,-0.439,-13.823,41.449,-33.542,46.048,10.549,9.139,0.0,16.057,-458.809,-9441.606
Ciências Ambientais (Bacharelado),EP_R2_PPI,4,-38.595,-39.354,20.654,-59.986,-15.686,-31.49,-29.376,15.171,-51.524,-15.686,7.105,13.094,0.0,26.709,-53.515,-48.178
Ciências Contábeis (Bacharelado),AC,11,-34.767,-27.789,43.394,-102.261,17.85,52.296,46.127,27.34,-10.335,84.034,87.064,30.503,51.329,148.329,-124.813,52.279
Ciências Contábeis (Bacharelado),CN,8,-17.202,-13.576,30.36,-70.205,25.609,3.679,5.872,21.142,-24.978,25.609,19.013,16.316,0.0,45.227,-176.484,574.699
