subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-36.957,43.54
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,64.205,64.205
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,67.536,157.41
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPIQ,EP_R1_PPIQ,True,R1,1.0,PPIQ,False,0.178,0.178
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-38.263,32.989
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,48.884,74.724
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,118.288,118.288
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,42.861,42.861
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,117.648,117.648
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,135.827,166.528
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-33.164,-3.3
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-37.151,-5.97
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,13.769,47.698
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ_PCD,EP_R2_NPPIQ_PCD,True,R2,1.0,NPPIQ,True,-31.841,-24.216
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,48.441,48.441
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,55.467,112.083
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,Ciências Ambientais (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-60.711,-15.392
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,1.0,NPPIQ,False,-78.848,-26.937
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,1.0,PPIQ,False,-67.982,8.016
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,29.597,56.051
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,29.652,29.652
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Bacharelado),Diurno,Ciências Biológicas (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,78.793,119.236
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Licenciatura),Noturno,Ciências Biológicas (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,1.0,NPPIQ,False,-40.608,7.61
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Licenciatura),Noturno,Ciências Biológicas (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-17.183,-17.183
2023-2025,2025,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas (Licenciatura),Noturno,Ciências Biológicas (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-14.729,54.739
