subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas,Diurno,Ciências Biológicas | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,21.358,36.304
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas,Diurno,Ciências Biológicas | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,51.276,55.29
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Biológicas,Diurno,Ciências Biológicas | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,61.373,143.74
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis,Diurno,Ciências Contábeis | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-30.284,
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis,Diurno,Ciências Contábeis | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,,13.346
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis,Diurno,Ciências Contábeis | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,,12.234
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis,Diurno,Ciências Contábeis | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,,4.995
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis,Diurno,Ciências Contábeis | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,,8.335
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis,Diurno,Ciências Contábeis | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,13.056,64.385
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Ciências Contábeis (Bacharelado),Noturno,Ciências Contábeis (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-2.467,25.446
