Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2021-2023,2023,Darcy Ribeiro,Ciência da Computação (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-7.916,6.671
2021-2023,2023,Darcy Ribeiro,Ciência da Computação (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,8.992,21.805
2021-2023,2023,Darcy Ribeiro,Ciência da Computação (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,53.97,91.909
2021-2023,2023,Darcy Ribeiro,Ciência da Computação (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,107.146,124.221
2021-2023,2023,Darcy Ribeiro,Ciência da Computação (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,137.024,137.024
2021-2023,2023,Darcy Ribeiro,Ciência da Computação (Bacharelado),Diurno,AC,AC,False,,,False,,143.984,188.751
2021-2023,2023,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-15.546,-3.077
2021-2023,2023,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-21.736,15.499
2021-2023,2023,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-30.791,5.586
2021-2023,2023,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,16.428,22.171
2021-2023,2023,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,59.772,59.772
2021-2023,2023,Darcy Ribeiro,Ciência Política (Bacharelado),Diurno,AC,AC,False,,,False,,51.125,76.944
2021-2023,2023,Darcy Ribeiro,Ciências Ambientais (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-6.827,-6.827
2021-2023,2023,Darcy Ribeiro,Ciências Ambientais (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-51.524,-51.524
2021-2023,2023,Darcy Ribeiro,Ciências Ambientais (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-29.414,-13.823
2021-2023,2023,Darcy Ribeiro,Ciências Ambientais (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-39.988,-39.988
2021-2023,2023,Darcy Ribeiro,Ciências Ambientais (Bacharelado),Noturno,AC,AC,False,,,False,,-51.442,9.203
2021-2023,2023,Darcy Ribeiro,Biologia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-4.111,3.96
2021-2023,2023,Darcy Ribeiro,Biologia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,11.011,14.473
2021-2023,2023,Darcy Ribeiro,Biologia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-50.159,-26.927
2021-2023,2023,Darcy Ribeiro,Biologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,40.429,40.429
2021-2023,2023,Darcy Ribeiro,Biologia (Bacharelado),Diurno,EP_R2_NPPI_PCD,EP_R2_NPPI_PCD,True,R2,NPPI,True,1.5,-25.671,-25.671
2021-2023,2023,Darcy Ribeiro,Biologia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,24.351,24.351
2021-2023,2023,Darcy Ribeiro,Biologia (Bacharelado),Diurno,AC,AC,False,,,False,,92.094,139.272
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-59.857,-59.857
2021-2023,2023,Darcy Ribeiro,Ciências Contábeis (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-49.303,44.815
