subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado),Diurno,Artes Cênicas - Interpretação Teatral (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-58.968,-58.968
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado),Diurno,Artes Cênicas - Interpretação Teatral (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-6.534,-6.534
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Artes Cênicas - Interpretação Teatral (Bacharelado),Diurno,Artes Cênicas - Interpretação Teatral (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,9.492,24.387
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado)*,Diurno,Artes Visuais (Bacharelado)* | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-73.314,-3.219
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado)*,Diurno,Artes Visuais (Bacharelado)* | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-13.782,47.739
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-15.523,-15.523
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-45.652,-45.652
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-30.853,22.648
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-34.372,-34.372
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biblioteconomia (Bacharelado),Diurno,Biblioteconomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-82.692,28.164
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-35.358,22.414
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-25.817,-25.817
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,2.909,28.978
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,64.75,64.75
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Biotecnologia (Bacharelado),Diurno,Biotecnologia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,68.301,132.613
2021-2023,2023,Darcy Ribeiro (Plano Piloto) / DF,Ciência da Computação (Bacharelado),Diurno,Ciência da Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-7.916,6.671
