subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,Comunicação Social - Publicidade e Propaganda (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,40.414,48.42
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-63.935,-63.935
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-61.294,-29.644
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,26.07,26.07
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-82.226,-82.226
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Design – Programação Visual/ Projeto do Produto (Bacharelado),Diurno,Design – Programação Visual/ Projeto do Produto (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,54.836,69.182
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-25.544,-13.238
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,1.715,12.53
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,19.197,45.871
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,87.931,94.48
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,50.939,81.379
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Diurno,Direito (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,108.006,117.929
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-23.726,-20.32
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-54.298,-22.6
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,34.633,65.065
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,30.06,30.572
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Direito (Bacharelado),Noturno,Direito (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,76.028,82.163
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico,Diurno,Educação Física Ciclo Básico | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-72.598,-29.223
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico,Diurno,Educação Física Ciclo Básico | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-34.592,-33.682
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Educação Física Ciclo Básico,Diurno,Educação Física Ciclo Básico | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-27.052,-13.512
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-9.897,1.734
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-52.781,-29.624
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,6.012,18.469
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,6.688,6.688
2022-2024,2024,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,21.198,33.032
