subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquivologia (Bacharelado),Noturno,Arquivologia (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-46.303,-10.847
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-20.735,4.398
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-23.763,2.994
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-68.378,55.251
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-48.057,24.311
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-6.36,63.804
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Ciência Política (Bacharelado),Diurno,Ciência Política (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-16.226,118.576
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Artes Cênicas*,Noturno,Licenciatura em Artes Cênicas* | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-68.553,-68.553
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,Geofísica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-20.904,-20.904
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Geofísica (Bacharelado),Diurno,Geofísica (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-82.398,-2.424
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-44.598,18.4
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-31.837,53.774
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-63.631,29.797
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,21.015,92.852
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,Engenharia de Computação (Bacharelado),Diurno,Engenharia de Computação (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,76.169,143.359
2018-2020,2020,Darcy Ribeiro (Plano Piloto) / DF,História (Licenciatura),Noturno,História (Licenciatura) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-48.659,-25.066
