Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2018-2020,2020-2022,13.218,6.6090000000000035,False
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,15.628999999999998,6.558900000000001,False
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,27.477999999999998,6.117800000000001,False
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,17.903999999999996,6.008800000000002,False
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2019-2021,2021-2023,11.951999999999998,5.975999999999999,False
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,4,2018-2020,2021-2023,30.933999999999997,5.882200000000002,False
Japonês (Licenciatura),Darcy Ribeiro,Noturno,CN,2,2018-2020,2020-2022,11.003000000000007,5.501500000000004,False
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,3,2019-2021,2021-2023,10.304999999999998,5.152499999999994,False
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,11.423000000000002,5.105400000000003,False
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4,2018-2020,2021-2023,18.599999999999994,4.981999999999998,False
Engenharias (FGA),Gama,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,9.527000000000001,4.668599999999999,False
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,4,2018-2020,2021-2023,21.353,4.561100000000003,False
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,CN,2,2018-2020,2021-2023,13.501000000000001,4.500333333333334,False
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,18.424999999999997,4.494800000000004,False
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,3,2018-2020,2021-2023,7.466000000000001,4.424999999999996,False
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,24.842,4.133800000000009,False
Turismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,-6.049999999999997,4.0563,False
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3,2019-2021,2021-2023,8.028999999999996,4.014499999999993,False
Engenharias (FGA),Gama,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,8.844999999999999,3.9702999999999946,False
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,2019-2021,2021-2023,7.884,3.9419999999999917,False
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2018-2020,2021-2023,-1.1509999999999998,3.256142857142846,False
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,2018-2020,2021-2023,9.664000000000001,3.221333333333336,False
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,21.247,3.0675000000000026,False
Museologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,2,2018-2020,2019-2021,2.8689999999999998,2.8689999999999998,False
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2,2018-2020,2021-2023,7.329999999999998,2.443333333333334,False
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4,2018-2020,2021-2023,8.611,2.4199999999999973,False
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,2019-2021,2021-2023,4.651,2.325499999999999,False
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,23.014000000000003,2.2005999999999952,False
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,12.025000000000006,2.1200000000000054,False
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,2019-2021,2021-2023,3.256000000000004,1.627999999999995,False
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,5.989000000000004,1.6036000000000077,False
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,2.5820000000000007,1.530599999999998,False
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,2018-2020,2021-2023,-4.9030000000000005,1.5106999999999997,False
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4,2018-2020,2021-2023,8.461999999999996,1.3888000000000051,False
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,-3.1200000000000045,1.3093000000000006,False
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,2018-2020,2021-2023,-4.219999999999992,1.198500000000003,False
História (Licenciatura),Darcy Ribeiro,Noturno,CN,3,2018-2020,2023-2025,32.731,0.9459285714285719,False
Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R2_PPI,2,2018-2020,2020-2022,1.5820000000000007,0.7910000000000093,False
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,2018-2020,2021-2023,23.933,0.7893000000000002,False
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,-11.116000000000003,0.77389999999999,False
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,18.799000000000007,0.7661000000000169,False
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,CN,2,2019-2021,2021-2023,1.2209999999999965,0.6104999999999945,False
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,8.760999999999996,0.3916000000000043,False
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,4.475000000000001,0.3042999999999953,False
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,4.049999999999997,0.2469000000000059,False
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,2018-2020,2021-2023,-0.9369999999999976,0.2457142857142741,False
Enfermagem (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,14.457999999999998,0.11180000000000094,False
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,5.189,-0.12209999999999815,False
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,-9.885999999999996,-0.3292000000000009,False
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,CN,2,2018-2020,2022-2024,-2.392000000000003,-0.5979999999999999,False
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,2018-2020,2021-2023,-20.585000000000008,-0.6172000000000053,False
Biologia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,4,2018-2020,2021-2023,3.1639999999999997,-0.6975000000000011,False
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,12.305999999999997,-0.739899999999996,False
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,-9.445,-0.9188000000000005,False
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,6.253000000000004,-1.0478999999999976,False
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,2.027000000000001,-1.0484000000000044,False
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,CN,3,2019-2021,2023-2025,-5.4,-1.3500000000000068,False
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,2019-2021,2021-2023,-3.3200000000000003,-1.660000000000004,False
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,2,2019-2021,2021-2023,-4.106,-2.0529999999999995,False
Artes Visuais (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,2,2018-2020,2020-2022,-4.161999999999999,-2.0809999999999977,False
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,-9.599000000000004,-2.6142000000000034,False
Geologia (Bacharelado),Darcy Ribeiro,Diurno,CN,2,2019-2021,2020-2022,-2.703000000000003,-2.7030000000000087,False
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,-14.523000000000001,-2.7472999999999996,False
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2018-2020,2021-2023,-8.701999999999998,-2.799785714285714,False
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,2018-2020,2021-2023,-22.127,-2.9598000000000018,False
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,2,2018-2020,2020-2022,-5.948999999999998,-2.9744999999999955,False
Letras - Francês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,2018-2020,2021-2023,-13.625,-3.189714285714292,False
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,CN,4,2018-2020,2021-2023,-4.636000000000003,-3.5821,False
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,2018-2020,2021-2023,-11.854999999999997,-3.6821428571428667,False
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,-13.895999999999994,-3.862299999999988,False
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,-25.892,-3.946899999999994,False
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2018-2020,2020-2022,-8.074000000000005,-4.037,False
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,-3.3060000000000045,-4.1342,False
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2019-2021,2021-2023,-8.608000000000004,-4.303999999999996,False
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3,2018-2020,2020-2022,-9.443000000000012,-4.721500000000004,False
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2018-2020,2020-2022,-9.641999999999996,-4.820999999999997,False
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2018-2020,2021-2023,-37.673,-4.972857142857148,False
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,-22.454,-5.157,False
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,2018-2020,2021-2023,-10.189999999999998,-5.176857142857144,False
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,-6.460000000000008,-5.1887000000000025,False
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,-8.390999999999998,-5.483299999999996,False
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,-7.3770000000000024,-6.061800000000003,False
