Curso,Campus,Turno,modalidade_normalizada,n_trienios
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI_PCD,1
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,5
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD,1
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,AC,5
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,CN,4
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,AC,5
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,CN,3
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,2
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,3
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,4
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Ciências Naturais (Licenciatura),Planaltina,Diurno,AC,5
Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R1_PPI,2
Ciências Naturais (Licenciatura),Planaltina,Diurno,EP_R2_PPI,2
Ciências Naturais (Licenciatura),Planaltina,Noturno,AC,3
Ciências Naturais (Licenciatura),Planaltina,Noturno,CN,1
Ciências Naturais (Licenciatura),Planaltina,Noturno,EP_R2_PPI,1
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,5
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD,1
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Computação (Licenciatura),Darcy Ribeiro,Noturno,AC,6
Computação (Licenciatura),Darcy Ribeiro,Noturno,CN,4
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_NPPI,1
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,4
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI_PCD,1
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,2
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,AC,6
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,CN,5
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPIQ,1
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD,1
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Design – Programação Visual/Projeto do Produto (Bacharelado),Darcy Ribeiro,Diurno,CN,6
