Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2022-2024,2.396000000000001,0.810599999999996,True
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,8.119,0.7938000000000058,True
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,12.21799999999999,0.781500000000002,True
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,16.456000000000003,0.47882857142856516,True
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,17.475,0.36587837837837633,True
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,CN,5,2018-2020,2023-2025,34.332,0.35004054054054035,True
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,21.440000000000005,0.32419999999999805,True
Farmácia (Bacharelado),Ceilândia,Diurno,CN,6,2018-2020,2023-2025,41.888,0.31871428571428256,True
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,-3.932000000000002,0.19341891891891308,True
Ciências Naturais (Licenciatura),Planaltina,Diurno,AC,5,2018-2020,2023-2025,0.19299999999999784,0.1489054054054032,True
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,-8.520999999999999,0.12089999999999995,True
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,5,2018-2020,2022-2024,-8.725000000000001,0.09150000000000151,True
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,18.239000000000004,0.08260000000000185,True
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,15.116999999999999,-0.053999999999999285,True
Física (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-47.738,-0.057054054054059535,True
Direito (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,17.543000000000006,-0.1297428571428567,True
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,25.558999999999997,-0.1837428571428588,True
