Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2022-2024,2024,Darcy Ribeiro,Letras - Português (Bacharelado/Licenciatura),Diurno,CN,CN,False,,NEGROS,False,,-60.705,-60.705
2022-2024,2024,Darcy Ribeiro,Letras - Português (Bacharelado/Licenciatura),Diurno,AC,AC,False,,,False,,-22.941,-4.114
2022-2024,2024,Darcy Ribeiro,Matemática (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-53.025,-53.025
2022-2024,2024,Darcy Ribeiro,Matemática (Bacharelado/Licenciatura),Diurno,AC,AC,False,,,False,,-65.029,17.561
2022-2024,2024,Darcy Ribeiro,Medicina (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,55.923,61.257
2022-2024,2024,Darcy Ribeiro,Medicina (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,88.009,109.377
2022-2024,2024,Darcy Ribeiro,Medicina (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,78.632,98.015
2022-2024,2024,Darcy Ribeiro,Medicina (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,155.1,155.1
2022-2024,2024,Darcy Ribeiro,Medicina (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,146.826,146.826
2022-2024,2024,Darcy Ribeiro,Medicina (Bacharelado),Diurno,AC,AC,False,,,False,,162.424,173.057
2022-2024,2024,Darcy Ribeiro,Medicina Veterinária (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-2.808,16.671
2022-2024,2024,Darcy Ribeiro,Medicina Veterinária (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-62.784,-29.375
2022-2024,2024,Darcy Ribeiro,Medicina Veterinária (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,37.329,41.765
2022-2024,2024,Darcy Ribeiro,Medicina Veterinária (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,47.188,47.188
2022-2024,2024,Darcy Ribeiro,Medicina Veterinária (Bacharelado),Diurno,AC,AC,False,,,False,,52.582,63.333
2022-2024,2024,Darcy Ribeiro,Nutrição (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,4.712,4.712
2022-2024,2024,Darcy Ribeiro,Nutrição (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-67.72,-67.72
2022-2024,2024,Darcy Ribeiro,Nutrição (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,3.412,36.899
2022-2024,2024,Darcy Ribeiro,Nutrição (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-9.709,-9.709
2022-2024,2024,Darcy Ribeiro,Nutrição (Bacharelado),Diurno,AC,AC,False,,,False,,41.989,56.753
2022-2024,2024,Darcy Ribeiro,Odontologia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,11.177,11.177
2022-2024,2024,Darcy Ribeiro,Odontologia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-50.627,2.933
2022-2024,2024,Darcy Ribeiro,Odontologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,35.47,36.069
2022-2024,2024,Darcy Ribeiro,Odontologia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,9.216,9.216
2022-2024,2024,Darcy Ribeiro,Odontologia (Bacharelado),Diurno,AC,AC,False,,,False,,59.352,71.127
2022-2024,2024,Darcy Ribeiro,Pedagogia (Licenciatura),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-70.173,-54.697
2022-2024,2024,Darcy Ribeiro,Pedagogia (Licenciatura),Diurno,AC,AC,False,,,False,,-71.523,-19.368
2022-2024,2024,Darcy Ribeiro,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-60.075,-34.654
2022-2024,2024,Darcy Ribeiro,Psicologia (Bacharelado / Licenciatura / Psicólogo),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,3.278,8.523
