Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2019-2021,2021,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-7.569,44.378
2019-2021,2021,Darcy Ribeiro,Comunicação Social – Audiovisual (Bacharelado),Diurno,AC,AC,False,,,False,,64.46,
2019-2021,2021,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,35.413,35.413
2019-2021,2021,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,1.108,24.992
2019-2021,2021,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,4.223,4.223
2019-2021,2021,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,14.955,56.294
2019-2021,2021,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,54.06,54.06
2019-2021,2021,Darcy Ribeiro,Comunicação Social - Publicidade e Propaganda (Bacharelado),Diurno,AC,AC,False,,,False,,77.921,
2019-2021,2021,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,24.028,24.028
2019-2021,2021,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-31.239,-11.424
2019-2021,2021,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-45.596,-45.596
2019-2021,2021,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,47.464,47.464
2019-2021,2021,Darcy Ribeiro,Design – Programação Visual/Projeto do Produto (Bacharelado),Diurno,AC,AC,False,,,False,,80.914,98.283
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,71.703,98.148
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,1.027,53.764
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,28.279,53.85
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,48.707,52.731
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,52.904,84.592
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,2.332,42.274
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,12.304,37.517
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,38.282,74.352
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,54.367,61.664
2019-2021,2021,Darcy Ribeiro,Direito (Bacharelado),Noturno,AC,AC,False,,,False,,77.019,
2019-2021,2021,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-7.405,-7.405
2019-2021,2021,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-30.501,-17.981
2019-2021,2021,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-54.427,-33.945
2019-2021,2021,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-36.462,24.338
2019-2021,2021,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,6.786,12.56
2019-2021,2021,Darcy Ribeiro,Educação Física (Bacharelado),Diurno,AC,AC,False,,,False,,8.352,45.082
2019-2021,2021,Darcy Ribeiro,Educação Física (Licenciatura),Diurno,CN,CN,False,,NEGROS,False,,-18.38,-18.38
2019-2021,2021,Darcy Ribeiro,Educação Física (Licenciatura),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-73.641,-24.238
2019-2021,2021,Darcy Ribeiro,Educação Física (Licenciatura),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-53.868,-18.279
2019-2021,2021,Darcy Ribeiro,Educação Física (Licenciatura),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-21.729,-5.99
2019-2021,2021,Darcy Ribeiro,Educação Física (Licenciatura),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-21.889,-19.463
2019-2021,2021,Darcy Ribeiro,Educação Física (Licenciatura),Diurno,AC,AC,False,,,False,,-21.256,46.723
2019-2021,2021,Darcy Ribeiro,Enfermagem (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,33.356,33.356
2019-2021,2021,Darcy Ribeiro,Enfermagem (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,4.875,33.844
2019-2021,2021,Darcy Ribeiro,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,26.39,29.599
2019-2021,2021,Darcy Ribeiro,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,19.771,40.127
2019-2021,2021,Darcy Ribeiro,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,64.649,65.414
2019-2021,2021,Darcy Ribeiro,Enfermagem (Bacharelado),Diurno,AC,AC,False,,,False,,53.945,
2019-2021,2021,Darcy Ribeiro,Engenharia Ambiental (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,72.619,72.619
2019-2021,2021,Darcy Ribeiro,Engenharia Ambiental (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-72.216,-72.216
2019-2021,2021,Darcy Ribeiro,Engenharia Ambiental (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-49.389,38.819
2019-2021,2021,Darcy Ribeiro,Engenharia Ambiental (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-55.038,-2.954
2019-2021,2021,Darcy Ribeiro,Engenharia Ambiental (Bacharelado),Diurno,AC,AC,False,,,False,,26.947,94.16
2019-2021,2021,Darcy Ribeiro,Engenharia Civil (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,14.522,14.522
2019-2021,2021,Darcy Ribeiro,Engenharia Civil (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-28.648,18.511
2019-2021,2021,Darcy Ribeiro,Engenharia Civil (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-14.773,23.601
2019-2021,2021,Darcy Ribeiro,Engenharia Civil (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-16.736,85.341
2019-2021,2021,Darcy Ribeiro,Engenharia Civil (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-6.562,53.596
2019-2021,2021,Darcy Ribeiro,Engenharia Civil (Bacharelado),Diurno,AC,AC,False,,,False,,96.375,
2019-2021,2021,Darcy Ribeiro,Engenharia de Computação (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,84.173,84.173
2019-2021,2021,Darcy Ribeiro,Engenharia de Computação (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,39.279,96.047
2019-2021,2021,Darcy Ribeiro,Engenharia de Computação (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,17.976,19.536
2019-2021,2021,Darcy Ribeiro,Engenharia de Computação (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,13.355,
2019-2021,2021,Darcy Ribeiro,Engenharia de Produção (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-20.158,-20.158
2019-2021,2021,Darcy Ribeiro,Engenharia de Produção (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-5.047,-5.047
2019-2021,2021,Darcy Ribeiro,Engenharia de Produção (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-47.974,-47.974
2019-2021,2021,Darcy Ribeiro,Engenharia de Produção (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-86.266,14.269
2019-2021,2021,Darcy Ribeiro,Engenharia de Produção (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,46.816,71.428
2019-2021,2021,Darcy Ribeiro,Engenharia de Produção (Bacharelado),Noturno,AC,AC,False,,,False,,42.183,
2019-2021,2021,Darcy Ribeiro,Engenharia de Redes de Comunicação (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,24.498,24.498
2019-2021,2021,Darcy Ribeiro,Engenharia de Redes de Comunicação (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-43.862,-43.862
2019-2021,2021,Darcy Ribeiro,Engenharia de Redes de Comunicação (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-41.369,24.509
