Curso,Campus,Turno,modalidade_normalizada
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Farmácia (Bacharelado),Ceilândia,Diurno,EP_R2_PPI
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI_PCD
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Serviço Social (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Artes Cênicas (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Música (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Direito (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI
Biologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI_PCD
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPIQ
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Letras - Espanhol (Licenciatura),Darcy Ribeiro,Noturno,AC
