subprograma,campus,curso,turno,modalidade,nota_min,nota_max
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,CN,7.704,29.933
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Filosofia (Bacharelado/Licenciatura),Diurno,AC,-72.833,65.201
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Música (Licenciatura)*,Diurno,AC,-66.315,-66.315
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R1_PPI,-40.091,9.785
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R2_PPI,-27.235,13.364
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,EP_R2_NPPI,-30.985,9.153
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,CN,-49.161,-49.161
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Comunicação Social – Audiovisual (Bacharelado),Diurno,AC,47.993,110.494
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,EP_R1_NPPI,-45.35,-45.35
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,EP_R2_NPPI,-54.684,-14.787
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,CN,-51.632,-41.47
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Geografia (Bacharelado/Licenciatura),Diurno,AC,-52.004,33.9
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado)*,Diurno,EP_R2_NPPI,-37.278,-37.278
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Artes Visuais (Bacharelado)*,Diurno,AC,-54.583,41.796
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Naturais (Licenciatura),Diurno,EP_R2_PPI,-38.144,-7.442
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Naturais (Licenciatura),Diurno,AC,-78.584,-15.361
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Matemática,Noturno,AC,-44.481,-44.481
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Química,Noturno,EP_R1_PPI,-59.081,-1.061
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Química,Noturno,EP_R2_NPPI,-73.401,-15.838
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Licenciatura em Química,Noturno,AC,-16.564,-16.564
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,EP_R2_PPI,0.031,0.031
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,EP_R2_NPPI,-0.124,-0.124
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,CN,-42.667,-5.916
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Estatística (Bacharelado),Diurno,AC,-72.065,57.878
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Diurno,EP_R1_PPI,-48.812,-28.138
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Diurno,EP_R1_NPPI,-96.288,-53.106
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Diurno,EP_R2_PPI,-65.588,-13.972
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Diurno,EP_R2_NPPI,-51.891,-31.824
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Diurno,CN,3.008,26.594
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Serviço Social (Bacharelado),Diurno,AC,-58.484,45.897
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,EP_R1_PPI,-74.73,-74.73
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,EP_R2_PPI,-45.931,26.603
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,EP_R2_NPPI,-11.788,-11.788
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,CN,-10.52,128.902
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Física (Bacharelado),Diurno,AC,-49.177,91.641
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,EP_R2_PPI,-59.986,-33.277
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,EP_R2_NPPI,-49.599,-33.542
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,CN,-35.352,-30.498
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Ciências Ambientais (Bacharelado),Noturno,AC,-86.73,22.379
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Agronegócio (Bacharelado),Noturno,EP_R2_NPPI,-71.314,-1.139
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Agronegócio (Bacharelado),Noturno,CN,-25.521,-25.521
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Agronegócio (Bacharelado),Noturno,AC,-93.752,-40.181
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R1_PPI,-50.128,18.233
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,-16.36,12.216
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,-20.508,11.174
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,12.11,43.716
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,CN,6.016,17.233
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Enfermagem (Bacharelado),Diurno,AC,9.2,70.871
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua (Licenciatura),Diurno,EP_R1_NPPI,-17.594,-17.594
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua (Licenciatura),Diurno,EP_R2_PPI,-83.522,-50.615
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua (Licenciatura),Diurno,EP_R2_NPPI,-24.411,-24.411
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Letras – Português do Brasil como Segunda Língua (Licenciatura),Diurno,AC,-65.683,30.297
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,EP_R1_PPI,-93.87,-50.055
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,EP_R2_PPI,-77.467,14.729
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,EP_R2_NPPI,-84.214,-84.214
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Noturno,AC,-81.89,25.212
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,EP_R1_PPI,-56.072,-55.265
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,EP_R1_NPPI,-11.157,1.525
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,EP_R2_PPI,-41.496,19.612
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,EP_R2_NPPI,-9.63,67.493
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,CN,0.785,25.807
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Farmácia (Bacharelado),Diurno,AC,13.016,75.783
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,EP_R1_PPI,-95.963,-57.354
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,EP_R1_NPPI,-12.548,-12.548
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,EP_R2_PPI,-60.85,-6.58
2018-2020,Darcy Ribeiro (Plano Piloto) / DF,Gestão de Políticas Públicas (Bacharelado),Noturno,EP_R2_NPPI,-43.785,-6.373
