Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínino											
		PPI		PCD e PPI		Não PPI		PCD e Não PPI		PPI		PCD e PPI		Não PPI		PCD e Não PPI		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)	Diurno	-3,737	-3,737	-	-	-16,142	30,504	-	-	-75,985	-51,065	-	-	20,613	20,613	-	-	5,699	5,699	33,307	56,705
Língua Portuguesa e Respectiva Literatura (Licenciatura)	Noturno	-39,823	-20,991	-	-	-55,127	-54,044	-	-	-13,532	-13,532	-	-	-21,451	5,240	-	-	-	-	-79,901	72,722
Matemática (Bacharelado/ Licenciatura)	Diurno	-64,581	-22,149	-	-	-48,661	16,087	-	-	-52,443	31,477	-	-	14,603	14,603	-	-	3,005	3,005	31,531	86,792
Medicina (Bacharelado)	Diurno	78,064	138,392	-	-	95,903	145,179	-	-	101,507	113,527	-	-	152,542	173,160	-	-	94,772	94,772	183,500	209,070
Medicina Veterinária (Bacharelado)	Diurno	-40,671	36,125	-	-	-58,651	18,192	-	-	35,451	48,048	-	-	60,933	67,731	-	-	10,471	10,471	68,525	134,950
Museologia (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-75,472	-75,472	-	-	-	-	-	-	-	-	-45,669	38,698
Música (Bacharelado)*	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7,205	35,375
Música (Licenciatura)*	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-0,727	-0,727	-	-	-	-	-65,044	-27,390
Nutrição (Bacharelado)	Diurno	-31,108	1,452	-	-	15,010	15,010	-	-	-5,548	45,193	-	-	79,990	79,990	-	-	12,194	12,194	59,022	91,433
Odontologia (Bacharelado)	Diurno	-50,524	21,783	-	-	69,514	69,514	-	-	50,089	81,807	-	-	78,645	78,645	-	-	25,114	25,114	97,520	129,466
Pedagogia (Licenciatura)	Diurno	-51,346	5,818	-	-	-65,977	-55,588	-	-	-66,478	-2,570	-	-	-13,682	-13,596	-	-	-41,983	17,019	-9,961	56,526
Pedagogia (Licenciatura)	Noturno	-92,488	-19,335	-	-	-	-	-	-	-14,474	-14,474	-	-	-37,977	-7,157	-	-	-8,815	-8,815	-82,573	9,451
Psicologia (Bacharelado / Licenciatura / Psicólogo)	Diurno	32,086	61,601	-	-	42,404	44,348	-	-	20,600	35,048	-	-	112,073	117,010	-	-	56,866	56,866	105,646	146,501
Química (Bacharelado)	Diurno	22,563	26,649	-	-	28,834	28,834	-	-	-43,672	-43,672	-	-	-27,675	-6,451	-	-	-	-	40,202	126,092
Química Tecnológica (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-30,902	31,362	-	-	-20,386	-3,274	-	-	-	-	-56,414	35,844
Relações Internacionais (Bacharelado)	Diurno	-27,007	-3,597	-	-	18,254	52,210	-	-	3,855	54,101	-	-	51,189	51,189	22,690	22,690	74,993	74,993	95,161	150,831
Saúde Coletiva (Bacharelado)	Noturno	-105,487	-105,487	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-73,319	-1,649
Serviço Social (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-46,944	-3,065	-	-	-56,018	-2,724	-	-	16,930	16,930	-37,204	18,722
Serviço Social (Bacharelado)	Noturno	-	-	-	-	-53,956	-53,956	-	-	-	-	-	-	-61,615	-61,615	-	-	-41,755	-41,755	-51,405	9,757
Teoria, Crítica e História da Arte (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-51,341	-51,341	-	-	-	-	-	-	-	-	-64,852	-7,391
Turismo (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-20,793	-20,793	-	-	-22,832	-22,832	-83,422	20,419
Campus UnB — Gama / DF																					
Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**	Diurno	-53,959	47,686	-	-	-35,606	44,820	-	-	-64,219	70,524	-	-	11,743	81,398	-	-	24,066	129,802	50,773	178,331
Campus UnB — Planaltina / DF																					
Ciências Naturais (Licenciatura)	Diurno	-19,534	-19,534	-	-	-	-	-	-	-36,562	-36,562	-	-	-	-	-	-	-	-	-71,509	21,657
Ciências Naturais (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-37,156	-37,156	-	-	-	-	-	-	-	-	-62,526	-39,709
Gestão Ambiental (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-10,728	-10,728	-	-	-	-	-46,760	31,975
Gestão do Agronegócio (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-45,106	-45,106	-96,675	4,580
